model,checkpoint,term,task,prompt_id,prompt_template_bind,eb_star,eb_per_layer,best_layer,entropy,span_indices,n_term_tokens,prompt_template_beh,behavioral_score,step,model_short
pythia-160m-deduped,step0,skip link,generation,gen_006,"When designing accessible navigation, a skip link ensures",0.093686,"[0.045098, 0.038145, 0.054291, 0.058092, 0.064874, 0.053665, 0.050182, 0.046056, 0.093686, 0.049273, 0.059617, 0.06734]",8,2.448869,"[7, 8]",2,"When designing accessible navigation, a skip link ensures",0.0,0,160m
pythia-160m-deduped,step0,alt text,generation,gen_001,"In web accessibility, alt text is",0.147328,"[0.147328, 0.069613, 0.115615, 0.074387, 0.056318, 0.07399, 0.080962, 0.102983, 0.05069, 0.032122, 0.101418, 0.033973]",0,2.424445,"[5, 6]",2,"In web accessibility, alt text is",0.0,0,160m
pythia-160m-deduped,step0,alt text,generation,gen_002,"For blind users, alt text",0.144624,"[0.083068, 0.059952, 0.110773, 0.102678, 0.090971, 0.082109, 0.144624, 0.057364, 0.056418, 0.048738, 0.086529, 0.047191]",6,2.431552,"[5, 6]",2,"For blind users, alt text",0.0,0,160m
pythia-160m-deduped,step0,alt text,generation,gen_003,"To write effective alt text, content creators should",0.160306,"[0.102476, 0.100007, 0.120919, 0.081463, 0.076989, 0.123335, 0.144571, 0.160306, 0.059456, 0.03765, 0.119993, 0.085401]",7,2.424624,"[4, 5]",2,"To write effective alt text, content creators should",0.0,0,160m
pythia-160m-deduped,step0,alt text,generation,gen_004,"Without alt text, screen reader users may",0.221722,"[0.156782, 0.126687, 0.107719, 0.116535, 0.089981, 0.075204, 0.221722, 0.093168, 0.073602, 0.101081, 0.108985, 0.057571]",6,2.437567,"[2, 3]",2,"Without alt text, screen reader users may",0.0,0,160m
pythia-160m-deduped,step0,alt text,generation,gen_005,An accessibility scan found images lacking alt text. This means,0.127768,"[0.107955, 0.070984, 0.127768, 0.063986, 0.058367, 0.07685, 0.088119, 0.084559, 0.027212, 0.036333, 0.07513, 0.051836]",2,2.386382,"[7, 8]",2,An accessibility scan found images lacking alt text. This means,0.0,0,160m
pythia-160m-deduped,step0,alt text,generation,gen_006,"When publishing web content, alt text ensures",0.118924,"[0.111985, 0.08605, 0.118924, 0.078101, 0.060246, 0.069905, 0.104058, 0.059517, 0.033392, 0.036376, 0.062629, 0.046012]",2,2.430764,"[6, 7]",2,"When publishing web content, alt text ensures",0.0,0,160m
pythia-160m-deduped,step0,color contrast,generation,gen_001,"In web accessibility, color contrast is",0.122418,"[0.063537, 0.122418, 0.07136, 0.108537, 0.099953, 0.114722, 0.092753, 0.093616, 0.033982, 0.05493, 0.047305, 0.05751]",1,2.40456,"[5, 6]",2,"In web accessibility, color contrast is",0.0,0,160m
pythia-160m-deduped,step0,color contrast,generation,gen_002,"For users with low vision, color contrast",0.115828,"[0.092639, 0.073979, 0.062377, 0.061602, 0.0439, 0.104333, 0.115828, 0.03849, 0.073662, 0.067985, 0.029832, 0.062539]",6,2.414602,"[7, 8]",2,"For users with low vision, color contrast",0.0,0,160m
pythia-160m-deduped,step0,color contrast,generation,gen_003,"To achieve sufficient color contrast, designers should",0.149748,"[0.133692, 0.121457, 0.084099, 0.03235, 0.106919, 0.113918, 0.149748, 0.087544, 0.052091, 0.093543, 0.077552, 0.058523]",6,2.435159,"[4, 5]",2,"To achieve sufficient color contrast, designers should",0.0,0,160m
pythia-160m-deduped,step0,color contrast,generation,gen_004,"Without adequate color contrast, users with visual impairments may",0.161828,"[0.161828, 0.160292, 0.13648, 0.06919, 0.159769, 0.143851, 0.153311, 0.101639, 0.068584, 0.080686, 0.062788, 0.044232]",0,2.431439,"[3, 4]",2,"Without adequate color contrast, users with visual impairments may",0.0,0,160m
pythia-160m-deduped,step0,color contrast,generation,gen_005,An accessibility checker flagged poor color contrast. This means,0.088449,"[0.043653, 0.088449, 0.066187, 0.039407, 0.074649, 0.059991, 0.07839, 0.05493, 0.049333, 0.036035, 0.036938, 0.02959]",1,2.410035,"[8, 9]",2,An accessibility checker flagged poor color contrast. This means,0.0,0,160m
pythia-160m-deduped,step0,color contrast,generation,gen_006,"When selecting color palettes, color contrast ensures",0.085158,"[0.054153, 0.085158, 0.082938, 0.054867, 0.056362, 0.053561, 0.082858, 0.036284, 0.023856, 0.040179, 0.042562, 0.063036]",1,2.421647,"[7, 8]",2,"When selecting color palettes, color contrast ensures",0.0,0,160m
pythia-160m-deduped,step0,focus indicator,generation,gen_001,"In web accessibility, a focus indicator is",0.13791,"[0.099638, 0.055725, 0.118782, 0.13791, 0.09814, 0.075344, 0.068997, 0.084521, 0.053955, 0.074304, 0.090679, 0.04777]",3,2.38569,"[6, 7]",2,"In web accessibility, a focus indicator is",0.0,0,160m
pythia-160m-deduped,step0,focus indicator,generation,gen_002,"For keyboard users, a focus indicator",0.145717,"[0.094423, 0.111214, 0.071346, 0.145717, 0.058463, 0.05721, 0.067454, 0.089135, 0.065729, 0.056843, 0.095884, 0.045214]",3,2.381528,"[6, 7]",2,"For keyboard users, a focus indicator",0.0,0,160m
pythia-160m-deduped,step0,focus indicator,generation,gen_003,"To implement visible focus indicators, developers should",0.131903,"[0.112699, 0.071499, 0.106922, 0.107109, 0.131903, 0.035518, 0.091879, 0.124069, 0.054401, 0.083297, 0.096662, 0.06066]",4,2.399295,"[5, 6]",2,"To implement visible focus indicators, developers should",0.0,0,160m
pythia-160m-deduped,step0,focus indicator,generation,gen_004,"Without a focus indicator, keyboard-only users may",0.143592,"[0.12959, 0.141419, 0.103344, 0.124905, 0.143592, 0.10388, 0.122448, 0.123927, 0.037849, 0.074077, 0.092315, 0.054525]",4,2.454881,"[3, 4]",2,"Without a focus indicator, keyboard-only users may",0.0,0,160m
pythia-160m-deduped,step0,focus indicator,generation,gen_005,A usability test revealed missing focus indicators. This means,0.105523,"[0.052988, 0.091044, 0.105523, 0.092736, 0.081831, 0.070211, 0.056974, 0.072103, 0.064298, 0.03625, 0.075696, 0.073449]",2,2.443809,"[7, 8]",2,A usability test revealed missing focus indicators. This means,0.0,0,160m
pythia-160m-deduped,step0,focus indicator,generation,gen_006,"When styling interactive elements, a focus indicator ensures",0.105029,"[0.091503, 0.077784, 0.074776, 0.087861, 0.077687, 0.079958, 0.073247, 0.058797, 0.0998, 0.096845, 0.105029, 0.037156]",10,2.433199,"[7, 8]",2,"When styling interactive elements, a focus indicator ensures",0.0,0,160m
pythia-160m-deduped,step0,heading structure,generation,gen_001,"In web accessibility, heading structure is",0.183414,"[0.183414, 0.09014, 0.081929, 0.112118, 0.088186, 0.070659, 0.074183, 0.055263, 0.049257, 0.079506, 0.035338, 0.054791]",0,2.395096,"[5, 6]",2,"In web accessibility, heading structure is",0.0,0,160m
pythia-160m-deduped,step0,heading structure,generation,gen_002,"For screen readers, heading structure",0.1549,"[0.1549, 0.051152, 0.034718, 0.083476, 0.093924, 0.081582, 0.042316, 0.074173, 0.078282, 0.0448, 0.056949, 0.040462]",0,2.406537,"[5, 6]",2,"For screen readers, heading structure",0.0,0,160m
pythia-160m-deduped,step0,heading structure,generation,gen_003,"To create proper heading structure, content authors should",0.158144,"[0.158144, 0.094232, 0.077364, 0.072073, 0.051634, 0.070333, 0.06541, 0.045204, 0.053858, 0.06738, 0.072106, 0.067727]",0,2.412683,"[4, 5]",2,"To create proper heading structure, content authors should",0.0,0,160m
pythia-160m-deduped,step0,heading structure,generation,gen_004,"Without logical heading structure, screen reader users may",0.204309,"[0.204309, 0.123497, 0.113774, 0.087365, 0.053489, 0.079362, 0.103504, 0.114353, 0.042873, 0.092619, 0.06743, 0.090249]",0,2.40806,"[3, 4]",2,"Without logical heading structure, screen reader users may",0.0,0,160m
pythia-160m-deduped,step0,heading structure,generation,gen_005,An accessibility evaluation found improper heading structure. This means,0.135665,"[0.135665, 0.07251, 0.050404, 0.049244, 0.026995, 0.049993, 0.042329, 0.070746, 0.034532, 0.039276, 0.06626, 0.065912]",0,2.409174,"[6, 7]",2,An accessibility evaluation found improper heading structure. This means,0.0,0,160m
pythia-160m-deduped,step0,heading structure,generation,gen_006,"When organizing page content, heading structure ensures",0.114961,"[0.114961, 0.044809, 0.0803, 0.075911, 0.037829, 0.033571, 0.03567, 0.093888, 0.075507, 0.093606, 0.053469, 0.058893]",0,2.413344,"[6, 7]",2,"When organizing page content, heading structure ensures",0.0,0,160m
pythia-160m-deduped,step0,keyboard navigation,generation,gen_001,"In web accessibility, keyboard navigation is",0.135401,"[0.113121, 0.135401, 0.083291, 0.096331, 0.03928, 0.069754, 0.056331, 0.059071, 0.071205, 0.030445, 0.051316, 0.064054]",1,2.430409,"[5, 6]",2,"In web accessibility, keyboard navigation is",0.0,0,160m
pythia-160m-deduped,step0,keyboard navigation,generation,gen_002,"For users with motor disabilities, keyboard navigation",0.085719,"[0.071201, 0.085719, 0.053452, 0.064205, 0.054354, 0.072845, 0.033752, 0.063214, 0.067359, 0.025514, 0.078219, 0.039728]",1,2.445802,"[7, 8]",2,"For users with motor disabilities, keyboard navigation",0.0,0,160m
pythia-160m-deduped,step0,keyboard navigation,generation,gen_003,"To support keyboard navigation, developers should",0.161426,"[0.119138, 0.161426, 0.127371, 0.121351, 0.071688, 0.106921, 0.057898, 0.116459, 0.160298, 0.067402, 0.061464, 0.087826]",1,2.423164,"[3, 4]",2,"To support keyboard navigation, developers should",0.0,0,160m
pythia-160m-deduped,step0,keyboard navigation,generation,gen_004,"Without keyboard navigation support, motor-impaired users may",0.189545,"[0.184905, 0.189545, 0.121205, 0.156459, 0.056808, 0.136166, 0.107433, 0.08683, 0.107079, 0.065523, 0.111074, 0.12903]",1,2.442158,"[2, 3]",2,"Without keyboard navigation support, motor-impaired users may",0.0,0,160m
pythia-160m-deduped,step0,keyboard navigation,generation,gen_005,A manual test revealed keyboard navigation failures. This means,0.125776,"[0.125776, 0.110584, 0.090615, 0.074485, 0.058409, 0.110373, 0.087612, 0.059265, 0.06138, 0.038465, 0.06258, 0.027429]",0,2.442296,"[5, 6]",2,A manual test revealed keyboard navigation failures. This means,0.0,0,160m
pythia-160m-deduped,step0,keyboard navigation,generation,gen_006,"When developing interactive features, keyboard navigation ensures",0.093846,"[0.068958, 0.086143, 0.093846, 0.061007, 0.073327, 0.049421, 0.038066, 0.061111, 0.058084, 0.075883, 0.050965, 0.035675]",2,2.445304,"[6, 7]",2,"When developing interactive features, keyboard navigation ensures",0.0,0,160m
pythia-160m-deduped,step0,landmark region,generation,gen_001,"In web accessibility, a landmark region is",0.122032,"[0.100443, 0.043445, 0.085603, 0.122032, 0.078393, 0.067916, 0.059853, 0.046974, 0.057423, 0.033548, 0.03954, 0.064302]",3,2.398738,"[6, 7]",2,"In web accessibility, a landmark region is",0.0,0,160m
pythia-160m-deduped,step0,landmark region,generation,gen_002,"For screen reader users, landmark regions",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0,2.484907,[7],3,"For screen reader users, landmark regions",0.0,0,160m
pythia-160m-deduped,step0,landmark region,generation,gen_003,"To implement landmark regions, developers should",0.080724,"[0.036874, 0.039621, 0.040598, 0.04645, 0.043136, 0.056737, 0.061387, 0.028524, 0.054276, 0.080724, 0.051474, 0.055914]",9,2.459414,"[4, 5, 6]",3,"To implement landmark regions, developers should",0.0,0,160m
pythia-160m-deduped,step0,landmark region,generation,gen_004,"Without proper landmark regions, assistive technology users may",0.074797,"[0.056284, 0.036903, 0.039309, 0.037302, 0.029734, 0.039143, 0.043973, 0.031118, 0.074797, 0.029403, 0.054823, 0.05457]",8,2.448346,"[4, 5, 6]",3,"Without proper landmark regions, assistive technology users may",0.0,0,160m
pythia-160m-deduped,step0,landmark region,generation,gen_005,An HTML validation found missing landmark regions. This means,0.055662,"[0.036738, 0.028891, 0.039629, 0.051443, 0.035823, 0.032899, 0.037789, 0.036558, 0.050385, 0.032315, 0.045443, 0.055662]",11,2.456544,"[7, 8, 9]",3,An HTML validation found missing landmark regions. This means,0.0,0,160m
pythia-160m-deduped,step0,landmark region,generation,gen_006,"When structuring page layout, landmark regions ensure",0.105893,"[0.034403, 0.071137, 0.045282, 0.030039, 0.075198, 0.027117, 0.079248, 0.073686, 0.105893, 0.046226, 0.083535, 0.038467]",8,2.375991,"[8, 9]",3,"When structuring page layout, landmark regions ensure",0.0,0,160m
pythia-160m-deduped,step0,aria attribute,generation,gen_001,"In web accessibility, an aria attribute is",0.122727,"[0.067981, 0.054999, 0.085967, 0.059164, 0.122727, 0.069051, 0.056063, 0.086244, 0.082044, 0.077824, 0.069696, 0.075427]",4,2.398385,"[6, 7]",2,"In web accessibility, an aria attribute is",0.0,0,160m
pythia-160m-deduped,step0,aria attribute,generation,gen_002,"For screen reader users, aria attributes",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0,2.484907,[7],2,"For screen reader users, aria attributes",0.0,0,160m
pythia-160m-deduped,step0,aria attribute,generation,gen_003,"To use aria attributes correctly, developers should",0.141268,"[0.141268, 0.083951, 0.102849, 0.125596, 0.064593, 0.097006, 0.071085, 0.133806, 0.079708, 0.068976, 0.071089, 0.069115]",0,2.416146,"[4, 5]",2,"To use aria attributes correctly, developers should",0.0,0,160m
pythia-160m-deduped,step0,aria attribute,generation,gen_004,"Without appropriate aria attributes, custom widgets may",0.165085,"[0.079376, 0.151996, 0.057416, 0.164299, 0.046558, 0.165085, 0.086823, 0.095119, 0.08523, 0.099575, 0.096435, 0.128968]",5,2.426978,"[4, 5]",2,"Without appropriate aria attributes, custom widgets may",0.3333333333333333,0,160m
pythia-160m-deduped,step0,aria attribute,generation,gen_005,An accessibility audit found missing aria attributes. This means,0.126024,"[0.100822, 0.061554, 0.047086, 0.046923, 0.049692, 0.07849, 0.073711, 0.118192, 0.120449, 0.026007, 0.033088, 0.126024]",11,2.420043,"[7, 8]",2,An accessibility audit found missing aria attributes. This means,0.0,0,160m
pythia-160m-deduped,step0,aria attribute,generation,gen_006,"When creating custom components, aria attributes ensure",0.121048,"[0.082843, 0.121048, 0.062743, 0.06196, 0.043324, 0.055125, 0.052645, 0.088877, 0.061341, 0.086847, 0.042613, 0.053227]",1,2.413224,"[7, 8]",2,"When creating custom components, aria attributes ensure",0.0,0,160m
pythia-160m-deduped,step120000,screen reader,generation,gen_001,"In web accessibility, a screen reader is",0.874642,"[0.461292, 0.529491, 0.691694, 0.708766, 0.117547, 0.323316, 0.311859, 0.514546, 5e-06, 0.418623, 0.016123, 0.874642]",11,0.635363,"[6, 7]",2,"In web accessibility, a screen reader is",1.0,120000,160m
pythia-160m-deduped,step120000,screen reader,generation,gen_002,"For blind users, a screen reader",0.916653,"[0.456845, 0.563783, 0.6814, 0.70941, 0.102696, 0.32746, 0.321958, 0.483374, 0.916653, 0.864581, 0.035503, 0.913982]",8,0.001598,"[6, 7]",2,"For blind users, a screen reader",1.0,120000,160m
pythia-160m-deduped,step120000,screen reader,generation,gen_003,"To ensure screen reader compatibility, developers should",0.916667,"[0.432445, 0.595179, 0.568247, 0.650836, 0.199849, 0.442464, 0.327851, 0.769336, 0.916667, 0.434072, 0.014044, 0.764552]",8,4e-06,"[3, 4]",2,"To ensure screen reader compatibility, developers should",0.3333333333333333,120000,160m
pythia-160m-deduped,step120000,screen reader,generation,gen_004,"Without proper screen reader support, visually impaired users may",0.916666,"[0.318852, 0.520372, 0.501895, 0.705255, 0.060335, 0.391122, 0.277244, 0.571374, 0.916666, 0.602368, 0.023872, 0.004898]",8,5.5e-05,"[3, 4]",2,"Without proper screen reader support, visually impaired users may",0.3333333333333333,120000,160m
pythia-160m-deduped,step120000,screen reader,generation,gen_005,An accessibility audit found that the site is not screen reader friendly. This means,0.870494,"[0.460104, 0.597749, 0.696142, 0.692928, 0.17377, 0.268614, 0.388631, 0.789057, 1e-06, 0.759168, 0.011013, 0.870494]",11,0.003942,"[10, 11]",2,An accessibility audit found that the site is not screen reader friendly. This means,0.6666666666666666,120000,160m
pythia-160m-deduped,step120000,screen reader,generation,gen_006,"When building accessible sites, screen reader compatibility ensures",0.916664,"[0.447207, 0.613854, 0.599881, 0.636126, 0.191877, 0.264018, 0.341521, 0.771744, 0.916664, 0.552378, 0.065016, 0.841141]",8,0.000362,"[6, 7]",2,"When building accessible sites, screen reader compatibility ensures",0.3333333333333333,120000,160m
pythia-160m-deduped,step120000,skip link,generation,gen_001,"In web accessibility, a skip link is",0.91588,"[0.528178, 0.289473, 0.695698, 0.647165, 0.113166, 0.425914, 0.660322, 0.46567, 0.91588, 0.159304, 0.756562, 0.009438]",8,0.05343,"[6, 7]",2,"In web accessibility, a skip link is",0.3333333333333333,120000,160m
pythia-160m-deduped,step120000,skip link,generation,gen_002,"For keyboard navigation, a skip link",0.878505,"[0.540406, 0.205431, 0.716214, 0.663776, 0.138358, 0.44099, 0.639635, 0.535077, 0.007225, 0.055587, 0.69773, 0.878505]",11,0.001795,"[6, 7]",2,"For keyboard navigation, a skip link",0.6666666666666666,120000,160m
pythia-160m-deduped,step120000,skip link,generation,gen_003,"To implement a skip link, developers should",0.691471,"[0.488487, 0.465701, 0.691471, 0.62151, 0.126903, 0.454967, 0.623585, 0.509923, 7e-06, 0.068316, 0.39309, 0.507849]",2,2.102488,"[4, 5]",2,"To implement a skip link, developers should",0.6666666666666666,120000,160m
pythia-160m-deduped,step120000,skip link,generation,gen_004,"Without a skip link, keyboard users may",0.723872,"[0.494198, 0.307957, 0.723872, 0.629068, 0.107832, 0.286801, 0.434336, 0.482783, 0.0, 0.0404, 0.376905, 0.081992]",2,2.006884,"[3, 4]",2,"Without a skip link, keyboard users may",0.6666666666666666,120000,160m
pythia-160m-deduped,step120000,skip link,generation,gen_005,An accessibility review noted the absence of a skip link. This means,0.916211,"[0.50814, 0.287231, 0.739477, 0.672327, 0.115284, 0.527878, 0.588035, 0.458571, 0.000201, 0.319182, 0.277649, 0.916211]",11,0.033787,"[9, 10]",2,An accessibility review noted the absence of a skip link. This means,0.3333333333333333,120000,160m
pythia-160m-deduped,step120000,skip link,generation,gen_006,"When designing accessible navigation, a skip link ensures",0.916572,"[0.54079, 0.275337, 0.679348, 0.653204, 0.150064, 0.4382, 0.586293, 0.477746, 1e-06, 0.057709, 0.177979, 0.916572]",11,0.001802,"[7, 8]",2,"When designing accessible navigation, a skip link ensures",0.6666666666666666,120000,160m
pythia-160m-deduped,step120000,alt text,generation,gen_001,"In web accessibility, alt text is",0.658285,"[0.380255, 0.540452, 0.589317, 0.602632, 0.296891, 0.626483, 0.503286, 0.658285, 5e-06, 0.054763, 0.618891, 0.000726]",7,1.367741,"[5, 6]",2,"In web accessibility, alt text is",0.3333333333333333,120000,160m
pythia-160m-deduped,step120000,alt text,generation,gen_002,"For blind users, alt text",0.820598,"[0.349801, 0.403649, 0.632014, 0.634099, 0.369615, 0.623054, 0.398346, 0.424497, 9e-06, 0.018248, 0.820598, 0.00684]",10,0.004214,"[5, 6]",2,"For blind users, alt text",0.3333333333333333,120000,160m
pythia-160m-deduped,step120000,alt text,generation,gen_003,"To write effective alt text, content creators should",0.684658,"[0.487221, 0.684658, 0.500284, 0.667819, 0.108251, 0.400687, 0.310628, 0.40649, 1e-06, 0.002112, 0.000157, 0.0]",1,2.020523,"[4, 5]",2,"To write effective alt text, content creators should",0.3333333333333333,120000,160m
pythia-160m-deduped,step120000,alt text,generation,gen_004,"Without alt text, screen reader users may",0.598947,"[0.542542, 0.54397, 0.497229, 0.598947, 0.197311, 0.362084, 0.385216, 0.244805, 0.0, 2.7e-05, 0.028475, 0.0]",3,2.115755,"[2, 3]",2,"Without alt text, screen reader users may",0.3333333333333333,120000,160m
pythia-160m-deduped,step120000,alt text,generation,gen_005,An accessibility scan found images lacking alt text. This means,0.655304,"[0.559875, 0.655304, 0.507634, 0.633828, 0.252652, 0.576831, 0.524009, 0.388795, 0.0, 0.001144, 0.004178, 0.0]",1,1.947132,"[7, 8]",2,An accessibility scan found images lacking alt text. This means,0.3333333333333333,120000,160m
pythia-160m-deduped,step120000,alt text,generation,gen_006,"When publishing web content, alt text ensures",0.765108,"[0.405811, 0.522109, 0.601739, 0.599291, 0.23087, 0.58307, 0.4414, 0.765108, 1e-06, 0.185416, 0.335468, 7.3e-05]",7,1.310886,"[6, 7]",2,"When publishing web content, alt text ensures",0.3333333333333333,120000,160m
pythia-160m-deduped,step120000,color contrast,generation,gen_001,"In web accessibility, color contrast is",0.91652,"[0.341888, 0.468372, 0.446402, 0.689563, 0.326032, 0.518995, 0.459563, 0.787479, 0.91652, 0.642858, 0.820196, 0.837044]",8,0.013554,"[5, 6]",2,"In web accessibility, color contrast is",0.0,120000,160m
pythia-160m-deduped,step120000,color contrast,generation,gen_002,"For users with low vision, color contrast",0.916666,"[0.359758, 0.458288, 0.534011, 0.730035, 0.209344, 0.510343, 0.441555, 0.594455, 0.916666, 0.476489, 0.741799, 0.88551]",8,0.000111,"[7, 8]",2,"For users with low vision, color contrast",0.0,120000,160m
pythia-160m-deduped,step120000,color contrast,generation,gen_003,"To achieve sufficient color contrast, designers should",0.916377,"[0.560997, 0.592304, 0.34431, 0.691404, 0.20201, 0.283351, 0.3369, 0.402989, 0.916377, 0.698758, 0.000603, 0.0]",8,0.02329,"[4, 5]",2,"To achieve sufficient color contrast, designers should",0.0,120000,160m
pythia-160m-deduped,step120000,color contrast,generation,gen_004,"Without adequate color contrast, users with visual impairments may",0.916665,"[0.568593, 0.600133, 0.47237, 0.677722, 0.2152, 0.211158, 0.325905, 0.465524, 0.916665, 0.751159, 0.704177, 3.4e-05]",8,0.000187,"[3, 4]",2,"Without adequate color contrast, users with visual impairments may",0.0,120000,160m
pythia-160m-deduped,step120000,color contrast,generation,gen_005,An accessibility checker flagged poor color contrast. This means,0.916658,"[0.324104, 0.512546, 0.42782, 0.701184, 0.231439, 0.268822, 0.250258, 0.549166, 0.916658, 0.614514, 0.044983, 6.2e-05]",8,0.001019,"[8, 9]",2,An accessibility checker flagged poor color contrast. This means,0.0,120000,160m
pythia-160m-deduped,step120000,color contrast,generation,gen_006,"When selecting color palettes, color contrast ensures",0.916657,"[0.361068, 0.427403, 0.426007, 0.746496, 0.122182, 0.570837, 0.116145, 0.807142, 0.916452, 0.82533, 0.344698, 0.916657]",11,1e-06,"[7, 8]",2,"When selecting color palettes, color contrast ensures",0.0,120000,160m
pythia-160m-deduped,step120000,focus indicator,generation,gen_001,"In web accessibility, a focus indicator is",0.709687,"[0.286761, 0.509596, 0.709687, 0.683551, 0.064878, 0.33915, 0.255265, 0.505039, 1e-06, 0.025622, 0.373902, 0.000107]",2,1.760974,"[6, 7]",2,"In web accessibility, a focus indicator is",0.3333333333333333,120000,160m
pythia-160m-deduped,step120000,focus indicator,generation,gen_002,"For keyboard users, a focus indicator",0.712708,"[0.315217, 0.552031, 0.712708, 0.681838, 0.066997, 0.378596, 0.377239, 0.430307, 0.002815, 0.00477, 0.38158, 8e-05]",2,1.871303,"[6, 7]",2,"For keyboard users, a focus indicator",1.0,120000,160m
pythia-160m-deduped,step120000,focus indicator,generation,gen_003,"To implement visible focus indicators, developers should",0.670031,"[0.309437, 0.530147, 0.341505, 0.670031, 0.08593, 0.133701, 0.20939, 0.335836, 7e-06, 0.358954, 0.15591, 0.274931]",3,2.089077,"[5, 6]",2,"To implement visible focus indicators, developers should",0.3333333333333333,120000,160m
pythia-160m-deduped,step120000,focus indicator,generation,gen_004,"Without a focus indicator, keyboard-only users may",0.783583,"[0.463472, 0.610219, 0.700474, 0.683946, 0.122622, 0.369139, 0.465252, 0.783583, 0.0, 0.031247, 0.408634, 0.007434]",7,1.61897,"[3, 4]",2,"Without a focus indicator, keyboard-only users may",0.3333333333333333,120000,160m
